Referencia;Cantidad con signo;Entradas;Salidas;Cantidad Abonada;Precio;Importe;Existencia;Precio medio;Valor del inventario oficial;Escalón de precio;Codigo Cliente;Codigo Factura;Codigo Pedido;Fecha Pedido;Hora Pedido;Fecha Factura;Serie Factura;Codigo Presupuesto;Codigo Comercial;Empresa Emisora;Pedido Web;Referencia Proveedor;Referencia Fabricante;Codigo Tarifa;Nombre Tarifa;Su Num Pedido
PH 7530;-1;0;1;0;206.9800;206.9800;53;156.9565;8318.6945;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;1PE-C001019-00G;;8;NPVM;PED2021A1359C
PH 7312;-2;0;2;0;52.8200;105.6400;162;40.6630;6587.4060;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;1PE-C001026-00G;;8;NPVM;PED2021A1359C
PH 7315;-2;0;2;0;69.8300;139.6600;114;55.3253;6307.0842;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;1PE-C001027-00G;;8;NPVM;PED2021A1359C
PH 7322;-2;0;2;0;83.7700;167.5400;154;66.3702;10221.0108;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;1PE-C001028-00G;;8;NPVM;PED2021A1359C
PHC 2107;-4;0;4;0;52.8800;211.5200;5;32.1161;160.5805;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;FORM SH-7U;;8;NPVM;PED2021A1359C
PHC 2109;-4;0;4;0;53.7300;214.9200;11;42.1133;463.2463;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;FORM SH-9U;;8;NPVM;PED2021A1359C
PHC 2112;-4;0;4;0;59.4900;237.9600;15;46.6119;699.1785;3;57160;04-M/21-00779;01/04-M/21-00863;28-09-2021;8:28:48;28-09-2021;18;;527;4;No;FORM SH-12U;;8;NPVM;PED2021A1359C
DTA 016;-50;0;50;0;0.3800;19.0000;0;0.2257;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;TUBE HY 530 - 0,5G;;8;NPVM;PED2021A1293C
PH 9408;-10;0;10;0;29.5900;295.9000;0;21.9556;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;P8B(APEX 800);APEX 800;8;NPVM;PED2021A1293C
PH 9410;-2;0;2;0;49.8000;99.6000;0;37.1562;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;P1B-APEX;APEX 1000 LCD;8;NPVM;PED2021A1293C
PH 9420;-2;0;2;0;83.1800;166.3600;0;60.5928;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;P2B-APEX;VESTA 2000 LCD;8;NPVM;PED2021A1293C
PH 9210;-2;0;2;0;143.7000;287.4000;0;102.9926;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;1PE-C001401-00G;FRIGATE 1000VA/800W;8;NPVM;PED2021A1293C
PH 9220;-2;0;2;0;206.4000;412.8000;0;141.0285;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;1PE-C001402-00G;FRIGATE 2K;8;NPVM;PED2021A1293C
PH 9230;-2;0;2;0;301.0900;602.1800;0;201.1012;0.0000;3;57160;04-M/21-00766;01/04-M/21-00851;23-09-2021;9:51:28;23-09-2021;18;;527;4;No;1PE-C001403-00G;;8;NPVM;PED2021A1293C
PH 9270;-1;0;1;0;962.4100;962.4100;0;653.0781;0.0000;3;57160;04-M/21-00746;01/04-M/21-00830;16-09-2021;14:28:21;16-09-2021;18;;527;4;No;GALLEON ONE 10K;;8;NPVM;PED2021A20228
PH 9273;-1;0;1;1;1984.2600;1984.2600;0;1062.9682;0.0000;3;57160;04-M/21-00746;01/04-M/21-00830;16-09-2021;14:28:21;16-09-2021;18;;527;4;No;GALLEON II 3/3-10K;;8;NPVM;PED2021A20228
PA 5095;-20;0;20;0;4.4200;88.4000;32;3.4575;110.6400;3;57160;04-M/21-00725;01/04-M/21-00805;3-09-2021;9:07:21;3-09-2021;18;;527;4;No;3060001-1;;8;NPVM;PED2021A943C
PHR 6302;-20;0;20;0;29.4600;589.2000;152;19.4872;2962.0544;3;57160;04-M/21-00725;01/04-M/21-00805;3-09-2021;9:07:21;3-09-2021;18;;527;4;No;;;8;NPVM;PED2021A943C
PHR 6312;-20;0;20;0;34.8300;696.6000;61;24.4730;1492.8530;3;57160;04-M/21-00725;01/04-M/21-00805;3-09-2021;9:07:21;3-09-2021;18;;527;4;No;;;8;NPVM;PED2021A943C
YUA 107;-10;0;10;0;12.5200;125.2000;608;10.4101;6329.3408;3;57160;04-M/21-00612;01/04-M/21-00684;22-06-2021;13:35:48;22-06-2021;18;;527;4;No;NP7-12L;;8;NPVM;PED2021A734C
PHR 6312;-20;0;20;0;34.8300;696.6000;105;24.4730;2569.6650;3;57160;04-M/21-00612;01/04-M/21-00684;22-06-2021;13:35:48;22-06-2021;18;;527;4;No;;;8;NPVM;PED2021A734C
